,1
0,-0.2726219737544225
1,-0.184219604730605
2,-0.3204094815246903
3,-0.484479959011
4,-0.45050967574075
5,-0.463270975350775
6,-0.45285423874849995
7,-0.3868831777577625
8,-0.564571338890625
9,-0.61605243683
10,-0.5276793384561249
11,-0.48961420416725004
12,-0.62581016540525
13,-0.6573647403718749
14,-0.623657782076625
15,-0.639250282047875
16,-0.627503244876625
17,-0.622654906511375
18,-0.84571972607975
19,-0.8323166215416251
20,-0.6519219207757501
21,-0.6243815302855
22,-0.587431179286
23,-0.6684534299378752
24,-0.7017142415032499
25,-0.67501839041625
26,-0.672445036173875
27,-0.692344304323
28,-0.6421183729185
29,-0.79519170641925
30,-0.89116871953475
31,-0.8683857059548751
32,-0.873717713354
33,-0.7423201119883749
34,-0.8026073634548752
35,-0.7930992627130001
36,-0.7797596704967501
37,-0.852815791367
38,-0.873409047127125
39,-0.8812941229341249
40,-0.83371404051775
41,-0.8768781030214999
42,-0.8154648184813751
43,-0.8263467645638749
44,-0.9481283485833751
45,-0.8462395322309999
46,-0.78407684803075
47,-0.852865833046625
48,-0.78166874647075
49,-0.71116165518875
50,-0.820530787715
51,-0.880108765365
52,-0.90300216555975
53,-0.773476281169375
54,-0.7598860359163752
55,-0.79253441095525
56,-0.6316949450978749
57,-0.7061294496047501
58,-0.7441746366025
59,-0.734074863195625
60,-0.78171238184125
61,-0.7595710766333751
62,-0.84598262787425
63,-0.915437296623625
64,-0.850072827332
65,-0.856589776280875
66,-0.9685941183679999
67,-0.8031244719039999
68,-0.7944838702667499
69,-0.8457410490501249
70,-0.8467493796365
71,-0.9344901084805001
72,-0.82819867968425
73,-0.843469542265
74,-0.9238512420699999
75,-0.9328876638421251
76,-0.8307840657222499
77,-0.8678617787355001
78,-0.8655532312415
79,-0.95576879977875
80,-0.893616667987875
81,-0.957129441494875
82,-0.825061146020625
83,-0.8790964817932501
84,-0.848020533318125
85,-0.828202047351625
86,-0.761540040972
87,-0.757392090555625
88,-0.722210836407875
89,-0.638867256642625
90,-0.633855354785875
91,-0.753086925745625
92,-0.941361124509375
93,-0.754318156246375
94,-0.6939124572248749
95,-0.5262004220477501
96,-0.5684887659555
97,-0.48996073961449993
98,-0.5254643654835001
99,-0.32446379542439374
