,1
0,2.7631032848337496
1,2.734216451635
2,2.7733238792450003
3,2.6638708305299996
4,2.6663104247962495
5,2.610678405755
6,2.6013625812675003
7,2.6074277019425
8,2.6326055717537495
9,2.6410933971399997
10,2.69871022224375
11,2.6731066417825
12,2.6765913104962498
13,2.63881889343375
14,2.7049378776524997
15,2.5901995563575
16,2.5647012424337503
17,2.56398027421125
18,2.5306749820737497
19,2.4891291236975004
20,2.59303885460875
21,2.5652455520675
22,2.525049200035
23,2.53326737404125
24,2.4387637520000003
25,2.4240407467
26,2.4668340683000003
27,2.4617150879225
28,2.466763525015
29,2.4814115047575
30,2.4198809909900003
31,2.4202747821625
32,2.4071078777362502
33,2.3447604942274998
34,2.4145240307074998
35,2.4144362735875
36,2.4182883167274998
37,2.43669086454875
38,2.43984424590625
39,2.3740160846562497
40,2.3773333072575
41,2.4270171547012502
42,2.4271118831800003
43,2.4474018001512494
44,2.4881953716125
45,2.47201290129375
46,2.51398199082
47,2.46396212578
48,2.47213615416875
49,2.46072068213625
50,2.4248197650912497
51,2.40127152442125
52,2.4913277625875
53,2.49108629226375
54,2.4450275611937498
55,2.39899859427875
56,2.4046389865975
57,2.50067045211875
58,2.40991532325875
59,2.41332741736875
60,2.45365680695625
61,2.45913794518125
62,2.4926570987812497
63,2.5267733478600003
64,2.5313859271849997
65,2.5476306629262497
66,2.5724866390225
67,2.6185250759175
68,2.5917613029649997
69,2.5849716854275004
70,2.69497098923125
71,2.6633940791725
72,2.6425446605725007
73,2.7058277893100002
74,2.68584980965
75,2.72798853877
76,2.7485582828500004
77,2.7515222454037502
78,2.77943724631625
79,2.86483102799
80,2.8113020038625
81,2.8398946571374997
82,2.88671682357375
83,2.9106614303749994
84,2.863478240965
85,2.863189277665
86,2.88666155815875
87,2.83980069162625
88,2.8404433345925004
89,2.7961167621799996
90,2.8284344863975
91,2.82794467925625
92,2.81579530715875
93,2.90345524787625
94,2.94697014809375
95,2.94557356835
96,3.00932826042125
97,3.01415633200125
98,2.9903034973050002
99,3.0128809738099993
