,0,1
0,2.999462958,-0.2257928848
1,3.009414958,-0.285323143
2,3.019366958,-0.2691583633
3,3.029317958,-0.2774705887
4,3.039269958,-0.2245359421
5,3.049221958,-0.2132911682
6,3.059172958,-0.2442464828
7,3.069124958,-0.3017425537
8,3.079076958,-0.2953023911
9,3.089027958,-0.3080968857
10,3.098979958,-0.2943172455
11,3.108931958,-0.2912025452
12,3.118882958,-0.3730592728
13,3.128834958,-0.3171720505
14,3.138786958,-0.3175964355
15,3.148737958,-0.323841095
16,3.158689958,-0.2977170944
17,3.168641958,-0.2809810638
18,3.178592958,-0.2649641037
19,3.188544958,-0.2594013214
20,3.198496958,-0.283285141
21,3.208447958,-0.2880849838
22,3.218399958,-0.2629470825
23,3.228351958,-0.2532596588
24,3.238302958,-0.250043869
25,3.248254958,-0.2473497391
26,3.258206958,-0.2506656647
27,3.268157958,-0.2880573273
28,3.278109958,-0.2421655655
29,3.288061958,-0.2421655655
30,3.298012958,-0.2021198273
31,3.307964958,-0.2208185196
32,3.317916958,-0.2576875687
33,3.327867958,-0.2180976868
34,3.337819958,-0.2272539139
35,3.347771958,-0.1535463333
36,3.357722958,-0.1714735031
37,3.367674958,-0.2367992401
38,3.377625958,-0.247171402
39,3.387577958,-0.2651872635
40,3.397529958,-0.230307579
41,3.407480958,-0.267865181
42,3.417432958,-0.2916755676
43,3.427384958,-0.2895889282
44,3.437335958,-0.2830677032
45,3.447287958,-0.285369873
46,3.457239958,-0.3318071365
47,3.467190958,-0.3330383301
48,3.477142958,-0.3479833603
49,3.487094958,-0.3122186661
50,3.497045958,-0.2772817612
51,3.506997958,-0.2824897766
52,3.516949958,-0.2739076614
53,3.526900958,-0.2923364639
54,3.536852958,-0.2827682495
55,3.546804958,-0.3469495773
56,3.556755958,-0.3454141617
57,3.566707958,-0.3226976395
58,3.576659958,-0.3092460632
59,3.586610958,-0.2943601608
60,3.596562958,-0.2649288177
61,3.606514958,-0.1872358322
62,3.616465958,-0.1292209625
63,3.626417958,-0.1150131226
64,3.636369958,-0.1165914536
65,3.646320958,-0.1916837692
66,3.656272958,-0.269993782
67,3.666224958,-0.2712249756
68,3.676172458,-0.2920532227
69,3.686124458,-0.3041381836
70,3.696076458,-0.2120513916
71,3.706027458,-0.1943349838
72,3.715979458,-0.1649942398
